Year,League,Series,Team,Wins,Opponent,Opponent_Wins,Favorite,Underdog
1968,NBA,Eastern Div Finals,Boston Celtics,4,Philadelphia 76ers,3,NA,NA
1968,NBA,Western Div Finals,Los Angeles Lakers,4,Golden State Warriors,0,NA,NA
1968,NBA,Finals,Boston Celtics,4,Los Angeles Lakers,2,NA,NA
1968,ABA,Eastern Div Semifinals,Minnesota Muskies,3,Kentucky Colonels,2,NA,NA
1968,ABA,Eastern Div Semifinals,Pittsburgh Pipers,3,Indiana Pacers,0,NA,NA
1968,ABA,Western Div Semifinals,Dallas Chaparrals,3,Houston Mavericks,0,NA,NA
1968,ABA,Western Div Semifinals,New Orleans Buccaneers,3,Denver Rockets,2,NA,NA
1968,ABA,Eastern Div Finals,Pittsburgh Pipers,4,Minnesota Muskies,1,NA,NA
1968,ABA,Western Div Finals,New Orleans Buccaneers,4,Dallas Chaparrals,1,NA,NA
1968,ABA,Finals,Pittsburgh Pipers,4,New Orleans Buccaneers,3,NA,NA
1967,NBA,Eastern Div Semifinals,Boston Celtics,3,New York Knicks,1,NA,NA
1967,NBA,Eastern Div Semifinals,Philadelphia 76ers,3,Sacramento Kings,1,NA,NA
1967,NBA,Western Div Semifinals,Golden State Warriors,3,Los Angeles Lakers,0,NA,NA
1967,NBA,Western Div Semifinals,Atlanta Hawks,3,Chicago Bulls,0,NA,NA
1967,NBA,Eastern Div Finals,Philadelphia 76ers,4,Boston Celtics,1,NA,NA
1967,NBA,Western Div Finals,Golden State Warriors,4,Atlanta Hawks,2,NA,NA
1967,NBA,Finals,Philadelphia 76ers,4,Golden State Warriors,2,NA,NA
1966,NBA,Eastern Div Semifinals,Boston Celtics,3,Sacramento Kings,2,NA,NA
1966,NBA,Western Div Semifinals,Atlanta Hawks,3,Baltimore Bullets,0,NA,NA
1966,NBA,Eastern Div Finals,Boston Celtics,4,Philadelphia 76ers,1,NA,NA
1966,NBA,Western Div Finals,Los Angeles Lakers,4,Atlanta Hawks,3,NA,NA
1966,NBA,Finals,Boston Celtics,4,Los Angeles Lakers,3,NA,NA
1965,NBA,Eastern Div Semifinals,Philadelphia 76ers,3,Sacramento Kings,1,NA,NA
1965,NBA,Western Div Semifinals,Baltimore Bullets,3,Atlanta Hawks,1,NA,NA
1965,NBA,Eastern Div Finals,Boston Celtics,4,Philadelphia 76ers,3,NA,NA
1965,NBA,Western Div Finals,Los Angeles Lakers,4,Baltimore Bullets,2,NA,NA
1965,NBA,Finals,Boston Celtics,4,Los Angeles Lakers,1,NA,NA
1964,NBA,Eastern Div Semifinals,Sacramento Kings,3,Philadelphia 76ers,2,NA,NA
1964,NBA,Western Div Semifinals,Atlanta Hawks,3,Los Angeles Lakers,2,NA,NA
1964,NBA,Eastern Div Finals,Boston Celtics,4,Sacramento Kings,1,NA,NA
1964,NBA,Western Div Finals,Golden State Warriors,4,Atlanta Hawks,3,NA,NA
1964,NBA,Finals,Boston Celtics,4,Golden State Warriors,1,NA,NA
1963,NBA,Eastern Div Semifinals,Sacramento Kings,3,Philadelphia 76ers,2,NA,NA
1963,NBA,Western Div Semifinals,Atlanta Hawks,3,Detroit Pistons,1,NA,NA
1963,NBA,Eastern Div Finals,Boston Celtics,4,Sacramento Kings,3,NA,NA
1963,NBA,Western Div Finals,Los Angeles Lakers,4,Atlanta Hawks,3,NA,NA
1963,NBA,Finals,Boston Celtics,4,Los Angeles Lakers,2,NA,NA
1962,NBA,Eastern Div Semifinals,Golden State Warriors,3,Philadelphia 76ers,2,NA,NA
1962,NBA,Western Div Semifinals,Detroit Pistons,3,Sacramento Kings,1,NA,NA
1962,NBA,Eastern Div Finals,Boston Celtics,4,Golden State Warriors,3,NA,NA
1962,NBA,Western Div Finals,Los Angeles Lakers,4,Detroit Pistons,2,NA,NA
1962,NBA,Finals,Boston Celtics,4,Los Angeles Lakers,3,NA,NA
1961,NBA,Eastern Div Semifinals,Philadelphia 76ers,3,Golden State Warriors,0,NA,NA
1961,NBA,Western Div Semifinals,Los Angeles Lakers,3,Detroit Pistons,2,NA,NA
1961,NBA,Eastern Div Finals,Boston Celtics,4,Philadelphia 76ers,1,NA,NA
1961,NBA,Western Div Finals,Atlanta Hawks,4,Los Angeles Lakers,3,NA,NA
1961,NBA,Finals,Boston Celtics,4,Atlanta Hawks,1,NA,NA
1960,NBA,Eastern Div Semifinals,Golden State Warriors,2,Philadelphia 76ers,1,NA,NA
1960,NBA,Western Div Semifinals,Los Angeles Lakers,2,Detroit Pistons,0,NA,NA
1960,NBA,Eastern Div Finals,Boston Celtics,4,Golden State Warriors,2,NA,NA
1960,NBA,Western Div Finals,Atlanta Hawks,4,Los Angeles Lakers,3,NA,NA
1960,NBA,Finals,Boston Celtics,4,Atlanta Hawks,3,NA,NA
1959,NBA,Eastern Div Semifinals,Philadelphia 76ers,2,New York Knicks,0,NA,NA
1959,NBA,Western Div Semifinals,Los Angeles Lakers,2,Detroit Pistons,1,NA,NA
1959,NBA,Eastern Div Finals,Boston Celtics,4,Philadelphia 76ers,3,NA,NA
1959,NBA,Western Div Finals,Los Angeles Lakers,4,Atlanta Hawks,2,NA,NA
1959,NBA,Finals,Boston Celtics,4,Los Angeles Lakers,0,NA,NA
1958,NBA,Eastern Div Semifinals,Golden State Warriors,2,Philadelphia 76ers,1,NA,NA
1958,NBA,Western Div Semifinals,Detroit Pistons,2,Sacramento Kings,0,NA,NA
1958,NBA,Eastern Div Finals,Boston Celtics,4,Golden State Warriors,1,NA,NA
1958,NBA,Western Div Finals,Atlanta Hawks,4,Detroit Pistons,1,NA,NA
1958,NBA,Finals,Atlanta Hawks,4,Boston Celtics,2,NA,NA
1957,NBA,Western Div Tiebreak,Atlanta Hawks,1,Detroit Pistons,0,NA,NA
1957,NBA,Western Div Tiebreak,Atlanta Hawks,1,Los Angeles Lakers,0,NA,NA
1957,NBA,Eastern Div Semifinals,Philadelphia 76ers,2,Golden State Warriors,0,NA,NA
1957,NBA,Western Div Semifinals,Los Angeles Lakers,2,Detroit Pistons,0,NA,NA
1957,NBA,Eastern Div Finals,Boston Celtics,3,Philadelphia 76ers,0,NA,NA
1957,NBA,Western Div Finals,Atlanta Hawks,3,Los Angeles Lakers,0,NA,NA
1957,NBA,Finals,Boston Celtics,4,Atlanta Hawks,3,NA,NA
1956,NBA,Eastern Div 3rd Place Tiebreak,Philadelphia 76ers,1,New York Knicks,0,NA,NA
1956,NBA,Western Div 2nd Place Tiebreak,Los Angeles Lakers,1,Atlanta Hawks,0,NA,NA
1956,NBA,Eastern Div Semifinals,Philadelphia 76ers,2,Boston Celtics,1,NA,NA
1956,NBA,Western Div Semifinals,Atlanta Hawks,2,Los Angeles Lakers,1,NA,NA
1956,NBA,Eastern Div Finals,Golden State Warriors,3,Philadelphia 76ers,2,NA,NA
1956,NBA,Western Div Finals,Detroit Pistons,3,Atlanta Hawks,2,NA,NA
1956,NBA,Finals,Golden State Warriors,4,Detroit Pistons,1,NA,NA
1955,NBA,Eastern Div Semifinals,Boston Celtics,2,New York Knicks,1,NA,NA
1955,NBA,Western Div Semifinals,Los Angeles Lakers,2,Sacramento Kings,1,NA,NA
1955,NBA,Eastern Div Finals,Philadelphia 76ers,3,Boston Celtics,1,NA,NA
1955,NBA,Western Div Finals,Detroit Pistons,3,Los Angeles Lakers,1,NA,NA
1955,NBA,Finals,Philadelphia 76ers,4,Detroit Pistons,3,NA,NA
1954,NBA,Eastern Div Finals,Philadelphia 76ers,2,Boston Celtics,0,NA,NA
1954,NBA,Western Div Finals,Los Angeles Lakers,2,Sacramento Kings,1,NA,NA
1954,NBA,Finals,Los Angeles Lakers,4,Philadelphia 76ers,3,NA,NA
1953,NBA,Eastern Div Semifinals,Boston Celtics,2,Philadelphia 76ers,0,NA,NA
1953,NBA,Eastern Div Semifinals,New York Knicks,2,Baltimore Bullets,0,NA,NA
1953,NBA,Western Div Semifinals,Detroit Pistons,2,Sacramento Kings,1,NA,NA
1953,NBA,Western Div Semifinals,Los Angeles Lakers,2,Indianapolis Olympians,0,NA,NA
1953,NBA,Eastern Div Finals,New York Knicks,3,Boston Celtics,1,NA,NA
1953,NBA,Western Div Finals,Los Angeles Lakers,3,Detroit Pistons,2,NA,NA
1953,NBA,Finals,Los Angeles Lakers,4,New York Knicks,1,NA,NA
1952,NBA,Eastern Div Semifinals,New York Knicks,2,Boston Celtics,1,NA,NA
1952,NBA,Eastern Div Semifinals,Philadelphia 76ers,2,Golden State Warriors,1,NA,NA
1952,NBA,Western Div Semifinals,Los Angeles Lakers,2,Indianapolis Olympians,0,NA,NA
1952,NBA,Western Div Semifinals,Sacramento Kings,2,Detroit Pistons,0,NA,NA
1952,NBA,Eastern Div Finals,New York Knicks,3,Philadelphia 76ers,1,NA,NA
1952,NBA,Western Div Finals,Los Angeles Lakers,3,Sacramento Kings,1,NA,NA
1952,NBA,Finals,Los Angeles Lakers,4,New York Knicks,3,NA,NA
1951,NBA,Eastern Div Semifinals,New York Knicks,2,Boston Celtics,0,NA,NA
1951,NBA,Eastern Div Semifinals,Philadelphia 76ers,2,Golden State Warriors,0,NA,NA
1951,NBA,Western Div Semifinals,Los Angeles Lakers,2,Indianapolis Olympians,1,NA,NA
1951,NBA,Western Div Semifinals,Sacramento Kings,2,Detroit Pistons,1,NA,NA
1951,NBA,Eastern Div Finals,New York Knicks,3,Philadelphia 76ers,2,NA,NA
1951,NBA,Western Div Finals,Sacramento Kings,3,Los Angeles Lakers,1,NA,NA
1951,NBA,Finals,Sacramento Kings,4,New York Knicks,3,NA,NA
1950,NBA,Central Div 1st Place Tiebreak,Los Angeles Lakers,1,Sacramento Kings,0,NA,NA
1950,NBA,Central Div 3rd Place Tiebreak,Detroit Pistons,1,Chicago Stags,0,NA,NA
1950,NBA,Central Div Semifinals,Detroit Pistons,2,Sacramento Kings,0,NA,NA
1950,NBA,Central Div Semifinals,Los Angeles Lakers,2,Chicago Stags,0,NA,NA
1950,NBA,Eastern Div Semifinals,New York Knicks,2,Washington Capitols,0,NA,NA
1950,NBA,Eastern Div Semifinals,Philadelphia 76ers,2,Golden State Warriors,0,NA,NA
1950,NBA,Western Div Semifinals,Anderson Packers,2,Tri-Cities Blackhawks,1,NA,NA
1950,NBA,Western Div Semifinals,Indianapolis Olympians,2,Sheboygan Red Skins,1,NA,NA
1950,NBA,Central Div Finals,Los Angeles Lakers,2,Detroit Pistons,0,NA,NA
1950,NBA,Eastern Div Finals,Philadelphia 76ers,2,New York Knicks,1,NA,NA
1950,NBA,Western Div Finals,Anderson Packers,2,Indianapolis Olympians,1,NA,NA
1950,NBA,Semifinals,Los Angeles Lakers,2,Anderson Packers,0,NA,NA
1950,NBA,Finals,Los Angeles Lakers,4,Philadelphia 76ers,2,NA,NA
1949,BAA,Eastern Div Semifinals,New York Knicks,2,Baltimore Bullets,1,NA,NA
1949,BAA,Eastern Div Semifinals,Washington Capitols,2,Golden State Warriors,0,NA,NA
1949,BAA,Western Div Semifinals,Los Angeles Lakers,2,Chicago Stags,0,NA,NA
1949,BAA,Western Div Semifinals,Sacramento Kings,2,St. Louis Bombers,0,NA,NA
1949,BAA,Eastern Div Finals,Washington Capitols,2,New York Knicks,1,NA,NA
1949,BAA,Western Div Finals,Los Angeles Lakers,2,Sacramento Kings,0,NA,NA
1949,BAA,Finals,Los Angeles Lakers,4,Washington Capitols,2,NA,NA
1948,BAA,Western Div Tiebreak,Baltimore Bullets,1,Chicago Stags,0,NA,NA
1948,BAA,Western Div Tiebreak,Chicago Stags,1,Washington Capitols,0,NA,NA
1948,BAA,Quarterfinals,Baltimore Bullets,2,New York Knicks,1,NA,NA
1948,BAA,Quarterfinals,Chicago Stags,2,Boston Celtics,1,NA,NA
1948,BAA,Semifinals,Baltimore Bullets,2,Chicago Stags,0,NA,NA
1948,BAA,Semifinals,Golden State Warriors,4,St. Louis Bombers,3,NA,NA
1948,BAA,Finals,Baltimore Bullets,4,Golden State Warriors,2,NA,NA
1947,BAA,Quarterfinals,New York Knicks,2,Cleveland Rebels,1,NA,NA
1947,BAA,Quarterfinals,Golden State Warriors,2,St. Louis Bombers,1,NA,NA
1947,BAA,Semifinals,Chicago Stags,4,Washington Capitols,2,NA,NA
1947,BAA,Semifinals,Golden State Warriors,2,New York Knicks,0,NA,NA
1947,BAA,Finals,Golden State Warriors,4,Chicago Stags,1,NA,NA
